Company Name,Country,Sector,Subsector,Overall ESG RATING,Overall ESG SCORE,Environmental SCORE,Social SCORE,Governance SCORE
GRUBHUB HOLDINGS INC,US,Software & Services,Internet Software & Services,A,6.6,1.5,5.5,6.4
GRUBHUB INC,US,Retail - Consumer Discretionary,Internet & Direct Marketing Retail,BB,3.9,0.7,4.2,5
GRUH FINANCE LIMITED,IN,Banks,Thrifts & Mortgage Finance,A,7.1,6.6,4.7,3.2
GRUMA CORPORATION,US,Food Products,Packaged Foods & Meats,BB,4.1,2.6,4.5,5
"GRUMA, SAB DE CV",MX,Food Products,Packaged Foods & Meats,BB,4.1,2.6,4.5,5
GRUPA AZOTY SPOLKA AKCYJNA,PL,Specialty Chemicals,Fertilizers & Agricultural Chemicals,B,1.6,3.1,1.7,3.1
GRUPA LOTOS SPOLKA AKCYJNA,PL,"Oil & Gas Refining, Marketing, Transportation & Storage",Oil & Gas Refining & Marketing,BB,3.7,3.7,7.1,3.8
"GRUPO ANTOLIN-IRAUSA, SA",ES,Auto Components,,B,1.7,3.2,3.8,3.2
GRUPO AVAL LIMITED,KY,Banks,Diversified Banks,BB,4.2,3.6,4,1.7
"GRUPO CARSO, SAB DE CV",MX,Industrial Conglomerates,Industrial Conglomerates,CCC,0.5,3.5,1.1,2.3
GRUPO ENERGIA BOGOTA SA ESP,CO,Utilities,Gas Utilities,A,6.7,7.1,5.5,5.4
"GRUPO FINANCIERO HSBC, SA DE CV",MX,Banks,Diversified Banks,AA,8.57,6.4,5.9,6.5
GRUPO MATEUS SA,BR,Retail - Food & Staples,Hypermarkets & Super Centers,B,1.6,1.5,3,3.5
GRUPO SBF SA,BR,Retail - Consumer Discretionary,Specialty Stores,B,2.4,1.8,4,3.4
"GRUPO TELEVISA, SAB",MX,Media & Entertainment,Cable & Satellite,BBB,5.6,10,6.9,2.9
GRUPO TRAXION SAB DE CV,MX,Road & Rail Transport,Trucking,BBB,4.4,4.2,2.8,4.2
GRUPPA LSR PAO,RU,Real Estate Development & Diversified Activities,Real Estate Development,B,2.85,5.9,2.6,3.8
GS Caltex Corporation,KR,"Oil & Gas Refining, Marketing, Transportation & Storage",,BB,3.5,4,8.7,2.3
GS E&R Corp,KR,"Oil & Gas Refining, Marketing, Transportation & Storage",Oil & Gas Refining & Marketing,BBB,4.4,5.7,7.3,2.2
"GS EPS CO,LTD",KR,"Oil & Gas Refining, Marketing, Transportation & Storage",Oil & Gas Refining & Marketing,BBB,4.4,5.7,7.3,2.2
GS Energy Corporation,KR,"Oil & Gas Refining, Marketing, Transportation & Storage",Oil & Gas Refining & Marketing,BBB,4.4,5.7,7.3,2.2
GS Engineering & Construction Corp,KR,Construction & Engineering,Construction & Engineering,BBB,5.6,5.1,4.1,4
